# Room exit data — auto-generated by generate_test_data.sh
# Format: start_room_path	direction	destination_path
# Paths are relative to mudlib root (e.g., /d/snow/inn_hall)
/d/longttu/garden	west	/d/longttu/entrance
/d/longttu/garden	east	/d/longttu/lab
/d/longttu/garden	north	/d/longttu/storehouse
/d/longttu/lab	west	/d/longttu/garden
/d/longttu/lab	north	/d/longttu/study
/d/longttu/quarters	west	/d/longttu/study
/d/longttu/entrance	west	/d/snow/herb_shop
/d/longttu/entrance	east	/d/longttu/garden
/d/longttu/storehouse	south	/d/longttu/garden
/d/longttu/study	south	/d/longttu/lab
/d/longttu/study	east	/d/longttu/quarters
/d/xueyin/yard	west	/d/xueyin/entrance
/d/xueyin/yard	north	/d/xueyin/hall
/d/xueyin/yard	south	/d/xueyin/garden
/d/xueyin/training	west	/d/xueyin/hall
/d/xueyin/garden	north	/d/xueyin/yard
/d/xueyin/hall	south	/d/xueyin/yard
/d/xueyin/hall	east	/d/xueyin/training
/d/xueyin/hall	west	/d/xueyin/quarters
/d/xueyin/quarters	east	/d/xueyin/hall
/d/xueyin/entrance	west	/d/snow/ebridge
/d/xueyin/entrance	east	/d/xueyin/yard
/d/manglin/pond	south	/d/manglin/clearing
/d/manglin/path1	south	/d/manglin/entrance
/d/manglin/path1	north	/d/manglin/path2
/d/manglin/path1	east	/d/manglin/clearing
/d/manglin/path2	south	/d/manglin/path1
/d/manglin/path2	north	/d/manglin/path3
/d/manglin/path3	south	/d/manglin/path2
/d/manglin/path3	north	/d/tianxie/hidden_path
/d/manglin/clearing	west	/d/manglin/path1
/d/manglin/clearing	north	/d/manglin/pond
/d/manglin/entrance	south	/d/wutang/ngate
/d/manglin/entrance	north	/d/manglin/path1
/d/wutang/smithy	north	/d/wutang/street1
/d/wutang/smithy	east	/d/jianjia/entrance
/d/wutang/wushan_path2	down	/d/wutang/wushan_path1
/d/wutang/wushan_path2	up	/d/wutang/wushan_path3
/d/wutang/sgate	north	/d/wutang/square_s
/d/wutang/sgate	southwest	/d/choyin/choyin_road
/d/wutang/lane1	south	/d/wutang/square_w
/d/wutang/lane1	north	/d/wutang/herb_shop
/d/wutang/wgate	east	/d/wutang/square_w
/d/wutang/wgate	west	/d/road/road5
/d/wutang/square_n	south	/d/wutang/square
/d/wutang/square_n	north	/d/wutang/street2
/d/wutang/square_n	east	/d/wutang/lane2
/d/wutang/street3	east	/d/wutang/square_s
/d/wutang/street3	west	/d/wutang/dock
/d/wutang/square	east	/d/wutang/square_e
/d/wutang/square	west	/d/wutang/square_w
/d/wutang/square	north	/d/wutang/square_n
/d/wutang/square	south	/d/wutang/square_s
/d/wutang/ngate	south	/d/wutang/court
/d/wutang/ngate	north	/d/manglin/entrance
/d/wutang/inn_hall	west	/d/wutang/street1
/d/wutang/inn_hall	up	/d/wutang/inn_2f
/d/wutang/wushan_path1	down	/d/wutang/wushan_foot
/d/wutang/wushan_path1	up	/d/wutang/wushan_path2
/d/wutang/lane2	west	/d/wutang/square_n
/d/wutang/lane2	east	/d/wutang/wushan_foot
/d/wutang/lane2	down	/d/langyi/tunnel
/d/wutang/dock	east	/d/wutang/street3
/d/wutang/inn_2f	down	/d/wutang/inn_hall
/d/wutang/inn_2f	up	/d/wutang/inn_3f
/d/wutang/store	east	/d/wutang/street1
/d/wutang/inn_3f	down	/d/wutang/inn_2f
/d/wutang/temple	west	/d/wutang/wushan_path3
/d/wutang/temple	east	/d/tianshi/path
/d/wutang/temple	north	/d/xuantian/path
/d/wutang/herb_shop	south	/d/wutang/lane1
/d/wutang/herb_shop	east	/d/wutuo/entrance
/d/wutang/court	south	/d/wutang/street2
/d/wutang/court	east	/d/wutang/residence
/d/wutang/court	north	/d/wutang/ngate
/d/wutang/egate	west	/d/wutang/square_e
/d/wutang/egate	east	/d/heifeng/road1
/d/wutang/street1	north	/d/wutang/square_e
/d/wutang/street1	south	/d/wutang/smithy
/d/wutang/street1	east	/d/wutang/inn_hall
/d/wutang/street1	west	/d/wutang/store
/d/wutang/wushan_path3	down	/d/wutang/wushan_path2
/d/wutang/wushan_path3	north	/d/wutang/wushan_cave
/d/wutang/wushan_path3	east	/d/wutang/temple
/d/wutang/wushan_foot	west	/d/wutang/lane2
/d/wutang/wushan_foot	up	/d/wutang/wushan_path1
/d/wutang/square_w	east	/d/wutang/square
/d/wutang/square_w	west	/d/wutang/wgate
/d/wutang/square_w	north	/d/wutang/lane1
/d/wutang/square_s	north	/d/wutang/square
/d/wutang/square_s	south	/d/wutang/sgate
/d/wutang/square_s	west	/d/wutang/street3
/d/wutang/wushan_cave	south	/d/wutang/wushan_path3
/d/wutang/wushan_cave	north	/d/yinjiao/secret_passage
/d/wutang/square_e	west	/d/wutang/square
/d/wutang/square_e	east	/d/wutang/egate
/d/wutang/square_e	south	/d/wutang/street1
/d/wutang/street2	south	/d/wutang/square_n
/d/wutang/street2	north	/d/wutang/court
/d/wutang/residence	west	/d/wutang/court
/d/wutang/residence	east	/d/buxuan/entrance
/d/jianjia/forge	south	/d/jianjia/hall
/d/jianjia/training	west	/d/jianjia/hall
/d/jianjia/hall	west	/d/jianjia/entrance
/d/jianjia/hall	north	/d/jianjia/forge
/d/jianjia/hall	east	/d/jianjia/training
/d/jianjia/hall	south	/d/jianjia/quarters
/d/jianjia/quarters	north	/d/jianjia/hall
/d/jianjia/entrance	west	/d/wutang/smithy
/d/jianjia/entrance	east	/d/jianjia/hall
/d/langyi/training	west	/d/langyi/hall
/d/langyi/vault	south	/d/langyi/hall
/d/langyi/hall	south	/d/langyi/passage
/d/langyi/hall	east	/d/langyi/training
/d/langyi/hall	west	/d/langyi/quarters
/d/langyi/hall	north	/d/langyi/vault
/d/langyi/quarters	east	/d/langyi/hall
/d/langyi/passage	south	/d/langyi/tunnel
/d/langyi/passage	north	/d/langyi/hall
/d/langyi/tunnel	up	/d/wutang/lane2
/d/langyi/tunnel	north	/d/langyi/passage
/d/lee/street	west	/d/lee/r2
/d/lee/street	north	/d/lee/inn
/d/lee/street	south	/d/lee/farm
/d/lee/street	east	/d/lee/ancestral_hall
/d/lee/farm	north	/d/lee/street
/d/lee/ancestral_hall	west	/d/lee/street
/d/lee/inn	south	/d/lee/street
